songID,genre,language,title,duration,dateReleased,dayRank,monthRank,weekRank,dislikes,likes,artistUsername
1,pop,Latvian,Melodies of Love,189,1969-03-04,4500,9273,4423,429704,96962,opember1r
2,country,Bengali,Melodies of Love,227,1961-07-08,7180,1104,342,429289,270845,gelstoby
3,rock,Swedish,Harmony of the Heart,342,2016-08-25,1653,9979,4529,851832,322655,rgarmey8
4,hip hop,Fijian,Harmony of the Heart,491,2004-09-14,6552,1887,9603,621435,3015,twiddowfieldf
5,reggae,Korean,Harmony of the Heart,291,2006-05-08,9589,4002,6636,29391,123249,abattams4
6,jazz,New Zealand Sign Language,Serenade in the Rain,280,2002-04-08,4855,90,9052,819424,783371,torton2
7,country,Moldovan,Serenade in the Rain,492,1962-03-19,2800,8566,5330,602770,859917,rwitnallp
8,jazz,Gagauz,Midnight Serenade,375,1960-06-22,7613,3359,3213,8913,662590,rharrowingc
9,folk,Swedish,Rhythm of the Night,361,2014-03-08,7208,1564,2962,590240,325377,aduxfield1h
10,reggae,Greek,Serenade in the Rain,265,1970-04-03,153,2237,3285,550832,422295,smcdermot2h
11,hip hop,Armenian,Midnight Serenade,269,1984-12-22,9962,6818,9398,806463,691751,alandell2d
12,hip hop,Tajik,Echoes of Yesterday,165,2001-12-01,3070,3793,9872,26121,567588,spartona
13,hip hop,Quechua,Melodies of Love,359,2010-05-31,4592,166,9320,317932,72427,oflaws2q
14,jazz,Maltese,Summer Breeze,496,2003-02-18,3113,8659,6490,8789,433217,opember1r
15,electronic,Japanese,Rhythm of the Night,174,1967-05-05,283,3178,6472,327382,865766,gelstoby
16,folk,Georgian,Harmony of the Heart,121,1968-10-22,2669,3729,1664,300224,378049,dmackayb
17,electronic,Kashmiri,Sunshine,324,1972-02-01,3925,673,5612,846316,44344,rgoldberg2l
18,electronic,Bengali,Echoes of Yesterday,310,1985-08-08,6463,3904,9147,982970,508147,mgrimsdell27
19,rock,Swahili,Summer Breeze,354,1957-11-27,9224,2359,1851,611998,891504,jnipper2i
20,jazz,Tamil,Serenade in the Rain,481,1968-04-25,6894,3015,7446,36850,255201,rbrogi1q
21,jazz,Bosnian,Melodies of Love,297,1959-05-09,9865,8096,9850,913350,518866,dchiese1b
22,pop,Persian,Rhythm of the Night,172,1953-05-24,5056,8059,6017,417503,824274,fgorton26
23,jazz,Swati,Dancing in the Moonlight,427,1965-12-04,3509,4801,3061,117470,813343,skillingsworth2p
24,classical,Catalan,Summer Breeze,168,2019-11-12,2644,6599,1012,351677,296098,dmackayb
25,hip hop,New Zealand Sign Language,Whispering Wind,476,1986-11-11,1068,4655,3004,483624,784767,rlaugherane1c
26,country,Burmese,Whispering Wind,386,1968-02-29,637,966,768,371179,118328,opapaccio12
27,rock,Armenian,Serenade in the Rain,135,2003-10-26,2046,9788,5972,962207,722597,bonians2n
28,folk,Pashto,Summer Breeze,240,2022-12-17,5521,3884,3525,110368,964034,opapaccio12
29,jazz,Papiamento,Summer Breeze,459,1976-11-25,5615,5621,7754,70715,317350,awilde1n
30,metal,Finnish,Harmony of the Heart,276,1973-08-21,4460,3070,507,356237,607062,wgronalleru
31,rock,Danish,Sunshine,174,2012-11-28,250,8432,3846,713617,29858,adenisevich11
32,rock,Portuguese,Echoes of Yesterday,314,2000-08-23,8531,4288,8203,459243,242062,edomnink
33,metal,Tsonga,Echoes of Yesterday,332,1988-11-25,2937,191,3912,791504,962953,rgoldberg2l
34,hip hop,Indonesian,Whispering Wind,323,1983-02-23,132,1703,350,299904,197574,wgronalleru
35,country,Danish,Whispering Wind,302,1965-05-07,9932,1206,7908,996337,852662,mgrimsdell27
36,electronic,Portuguese,Melodies of Love,319,2010-07-28,1588,6346,2270,993878,435114,rbrogi1q
37,classical,Bosnian,Serenade in the Rain,158,1968-04-12,1164,5901,6719,84260,905006,alandell2d
38,pop,Guaraní,Dancing in the Moonlight,206,1983-02-13,149,974,3741,114068,414968,hfrend22
39,jazz,Malay,Serenade in the Rain,329,2001-03-11,3823,9978,8985,924285,112681,pcawthron1m
40,metal,Nepali,Midnight Serenade,470,1974-11-12,9741,7786,4381,75430,379281,ndanet21
41,rock,Dhivehi,Dancing in the Moonlight,224,1993-10-18,2294,4934,3815,722781,426403,mmargiotta5
42,folk,Assamese,Harmony of the Heart,298,1971-06-03,9194,5019,7815,516279,784809,ktroak14
43,country,Quechua,Serenade in the Rain,305,1963-04-25,9116,1029,9486,872566,505426,stomblett1
44,rock,Bosnian,Summer Breeze,368,1987-08-28,9510,9907,9448,757951,975333,mgrimsdell27
45,folk,Aymara,Whispering Wind,240,1952-02-11,5481,2698,8125,969364,491241,ilarn2r
46,country,Belarusian,Dancing in the Moonlight,255,1963-10-31,6937,3478,7950,872681,413780,mklementr
47,metal,Lao,Dancing in the Moonlight,464,2018-04-26,3552,6661,4764,418241,762493,pcawthron1m
