researcherID,userUsername
43,dlawrinson21
84,pdaeth1p
97,wbontein1k
32,jscoullar1r
63,jskitt2m
56,mpetrozzi1z
68,magnolo1u
36,csheard26
13,evogelz
59,hbaskeyfield4
52,kcassr
33,pdunridgeg
26,ltant2q
47,ktrewhitt17
80,mtordiffee
65,achifney2f
51,cmellenby28
34,sdumberellq
55,kkayley2j
5,amckeefryj
44,agleed2h
94,ljesse7
10,mrosenfrucht20
98,rthody0
25,ksymson1j
61,eyaldreno
31,sgamell1q
72,ldaberb
30,felietl
15,shartwells
76,klehmann12
28,ksmalemanc
19,ppauri
87,ajimpson1v
88,fhinken1f
60,ceselk
82,abaldazzi24
40,ngallymore1t
38,bwaszkiewicz27
57,thundy1i
46,lworswick3
1,mmacellen1x
11,ejouhanx
89,clunt1l
16,cchristmas1n
70,cmantha13
78,gdestouche15
66,ccowthard1g
14,hdibsdale14
53,esendley2r
12,akarleman1
86,gpetyanin10
20,sgrigsw
58,lmaccrackan25
27,lbroadwell2l
92,vroft1b
6,pmandry22
29,ltargett19
17,sbadby1e
100,cjoderlip
22,npavluk16
62,orisley2o
54,msargood2c
21,sgoodlip1c
42,glimpenny2i
49,lmcclean2e
91,jpackman1m
95,lverbrugge9
83,mbirdwistlem
9,wadamthwaite1y
37,njutsond
79,cgearty1d
64,fboag2g
74,mpezey2b
7,dsallinger18
77,cjado1w
96,jskelcher1s
2,wtippett2
45,tgreenhilly
35,malbury1o
90,greidh
24,fstringman11
18,froizn29
3,cdimmne2p
81,swainscoatt
99,ihaack1a
75,ccobbold23
50,abenting2n
85,cmcgerr6
67,alayingn
8,zkiefv
23,estow5
39,lchillingsworth8
69,amashro1h
4,fbinnesu
41,skinker2a
93,tshakeladea
71,pmillwall2d
73,ctuck2k
48,cdimmne2p
