artistUsername,companyID
hcheng4,79
slytton2r,58
ksumpnerh,54
rtimny1k,67
ccolwill1w,93
agarrold1q,70
rwhitecross25,57
mmcnabb1c,4
bwormstone2h,40
aanfosso2q,43
ngorrie2g,60
dmattint,82
jfetteplace1h,3
cdrexelb,64
yclemot23,71
ykamall2l,18
ksurr2,88
mscraneyn,35
abeaufoyo,90
fkubin21,30
pbroune1b,53
aozeltonr,78
elindupl,83
ttann19,14
mlennarde1x,45
egowngeu,59
mwoolliamss,41
pgeorginsm,39
sscouller14,38
lfuzzard2d,8
sfranceschielli20,77
jcorbyn0,44
kwhittleton2j,95
pfoulks24,2
dciccii,34
lprys2c,28
dbeecroft22,36
mgartell1t,32
aullyatt1r,55
feastwellf,50
tclivep,65
ntwizell27,22
ascottsy,86
gyerbury6,91
hgrandison1l,87
gchishullq,61
klambertinix,42
fbusher2k,24
wmachen7,98
echristofe12,15
slatty1a,100
btaborre2o,19
kcroney2e,52
kedgler2i,29
kfivey2b,76
rmealham26,26
touslem17,11
ghartleburyw,37
rcarragher2m,21
gfeaverd,12
mlaffoleylane2p,17
hmisk2a,89
cwycherley2n,74
pdybell1m,72
dmckean1i,7
frathbourne29,6
rchivers3,99
alabarrez,73
hkestin8,97
mguerriero28,94
sswalee,49
mkubin1f,80
hdipietro1z,84
ksandham1p,85
gantonoyev10,69
cjuckesa,56
ttunnock11,48
bryson5,31
lscowng,47
eneggrini1o,92
ichoake1,5
vbrauninger16,23
tdaniellik,9
flondsdalec,33
zferriman1v,63
dfellosj,1
ksketcher1u,75
vwardhough1g,10
btalkington1y,66
htesseyman1d,81
wpanswick1s,20
dformigli1e,13
mespinel1n,27
dcrebbin18,46
gjakobssen1j,68
omckeller15,16
tbretland13,62
sbenardet9,25
pmussottiv,96
dstratton2f,57
