artistUsername,userUsername
987,401
932,852
873,26
421,290
842,509
689,413
895,83
752,339
301,23
133,148
756,780
93,288
56,702
704,874
366,461
170,20
30,416
747,774
691,951
845,317
354,203
402,744
338,452
986,949
410,564
134,528
347,876
892,637
429,246
233,891
44,369
929,226
120,92
445,782
779,784
841,794
159,698
16,409
655,382
427,316
433,466
333,141
961,836
335,463
483,750
100,936
469,695
725,788
257,88
435,309
204,265
694,380
88,171
390,163
780,805
241,467
755,490
458,439
226,917
231,825
332,235
551,56
484,631
151,273
208,103
844,696
597,427
869,857
745,711
68,577
277,129
323,713
708,291
281,961
570,186
270,37
960,429
502,749
73,412
537,338
674,146
791,883
789,973
760,639
661,572
956,25
669,360
404,276
456,347
455,158
577,687
554,147
364,559
547,352
595,422
890,647
575,408
298,78
819,829
190,289
728,258
393,727
183,556
792,585
583,971
935,420
744,116
617,12
524,703
18,704
59,489
605,900
723,574
40,769
63,16
535,222
629,771
762,301
110,762
140,710
361,402
941,238
243,70
969,180
544,689
889,57
822,732
634,665
89,649
653,286
467,86
677,128
843,319
799,648
857,446
824,2
363,209
876,746
491,779
398,830
859,934
4,679
15,579
684,9
505,568
972,764
534,421
109,82
635,972
921,898
630,712
905,717
234,550
606,304
117,621
498,943
165,827
644,11
144,624
675,42
971,48
291,895
700,540
897,419
787,614
478,801
687,283
150,178
207,132
782,476
514,315
637,851
625,826
913,953
599,152
377,634
526,61
380,619
52,465
690,786
856,589
285,659
610,415
645,77
549,166
754,810
933,655
532,752
727,921
492,539
995,7
840,591
939,819
23,841
224,55
114,590
833,674
286,400
209,620
420,643
326,44
715,635
657,530
164,133
720,313
314,120
276,872
375,433
680,664
660,188
229,64
542,440
230,984
14,335
35,981
77,397
907,307
527,327
768,296
556,487
10,860
764,318
829,802
392,473
991,230
501,987
722,185
54,720
2,897
219,107
601,736
76,775
560,594
92,562
321,220
946,700
70,587
806,414
242,682
662,865
74,381
908,106
957,499
886,471
344,122
618,547
558,274
702,294
186,954
490,923
817,565
480,581
854,778
128,266
584,450
510,853
804,914
179,197
214,483
217,69
571,871
191,228
678,278
979,734
999,24
500,776
928,441
981,137
441,149
860,377
67,227
586,165
731,599
468,436
507,515
437,798
343,218
185,969
810,699
563,91
896,959
888,583
135,513
750,514
540,201
407,662
342,538
274,8
416,910
546,761
303,748
926,329
84,824
975,858
412,364
887,282
671,310
737,423
753,325
543,479
711,854
582,781
210,765
504,546
850,887
968,526
982,297
930,97
640,63
773,320
509,22
633,956
567,398
250,756
32,820
443,596
477,207
572,977
538,996
352,192
167,938
246,592
211,438
918,845
475,34
944,751
808,892
525,937
400,935
952,257
178,331
989,557
47,272
746,963
726,18
503,406
309,677
373,964
196,856
743,763
75,29
963,968
264,650
707,835
345,975
742,609
565,737
141,279
288,800
160,143
119,693
641,721
201,985
365,4
24,766
639,588
486,942
408,970
118,302
199,508
865,6
269,425
667,65
917,345
305,351
198,168
714,610
312,817
846,931
434,869
339,881
454,884
143,842
830,690
855,925
173,353
809,27
193,127
778,747
772,200
962,663
195,988
489,96
980,615
517,888
648,90
636,498
765,623
367,912
838,85
79,903
508,843
569,182
523,947
914,184
26,946
397,654
184,910
986,403
597,891
899,645
680,185
869,549
357,103
67,100
237,493
317,206
337,994
84,882
818,899
654,267
189,699
592,628
70,726
173,21
33,69
144,626
307,119
187,12
670,519
30,70
277,43
594,987
431,817
211,383
298,992
448,579
747,572
83,893
813,832
651,370
749,960
518,857
114,437
507,799
603,685
797,709
766,663
320,592
318,915
755,40
992,975
73,407
528,598
972,336
141,922
455,163
615,914
464,422
339,657
245,815
539,160
878,561
16,96
485,601
17,324
10,567
725,434
157,631
796,813
206,184
366,252
549,214
568,325
20,392
383,47
285,732
713,363
119,486
475,137
289,254
332,191
687,790
272,578
973,772
278,885
990,653
924,373
729,945
48,341
24,752
243,718
686,990
477,495
94,179
27,996
752,621
900,86
736,159
540,294
420,509
703,276
811,61
145,924
177,234
606,365
164,330
980,94
535,803
600,700
9,783
622,912
949,238
214,20
259,180
453,658
333,257
125,28
997,981
410,366
837,331
282,714
644,892
905,431
757,287
929,876
968,971
256,129
898,30
653,868
951,173
675,532
361,203
655,620
787,749
132,584
241,697
121,886
815,993
532,618
806,573
728,870
912,944
149,844
503,873
402,98
546,471
220,343
767,53
876,245
502,655
868,190
441,360
446,339
152,388
360,527
743,175
74,634
280,894
894,580
746,315
466,510
105,491
429,906
786,683
559,146
966,443
513,402
543,17
247,792
492,557
733,680
384,4
648,110
907,864
867,962
705,195
863,761
324,543
147,463
367,271
131,538
403,984
92,300
731,560
175,982
708,563
391,480
40,38
742,676
552,583
927,679
751,881
578,430
681,290
330,174
393,571
846,457
480,878
56,582
240,522
100,619
115,863
621,609
181,299
851,801
400,442
99,943
499,649
97,502
34,923
412,293
536,651
626,779
394,877
190,424
887,791
55,483
146,243
415,414
909,318
376,412
988,706
573,698
744,378
812,135
443,739
319,328
342,965
557,485
273,605
901,29
883,956
353,970
225,872
111,569
349,124
296,836
977,800
265,372
692,548
610,947
197,80
426,851
238,672
305,390
895,639
918,668
124,1
856,627
316,322
128,127
286,374
130,531
712,949
107,441
791,494
585,895
794,444
562,369
642,427
458,313
53,181
548,897
424,216
561,162
98,57
244,764
636,980
774,608
590,630
230,172
693,681
880,856
239,603
847,448
919,467
195,333
496,288
925,44
428,166
82,829
439,674
313,26
663,587
399,60
301,194
151,321
142,141
401,478
295,797
674,489
509,809
835,612
874,781
560,667
396,758
218,595
777,707
493,389
341,211
710,606
602,346
612,222
143,871
171,648
483,588
255,150
57,816
723,908
139,819
940,678
608,903
90,665
814,711
494,530
110,875
440,445
368,353
623,562
754,213
932,263
719,121
137,128
160,616
860,473
611,177
223,352
948,423
154,228
436,520
336,858
178,545
975,591
732,102
328,411
991,446
457,989
281,518
310,776
158,717
465,210
962,808
372,874
688,165
200,822
482,599
380,754
533,959
830,68
182,602
657,469
418,544
242,721
638,89
682,84
390,63
750,215
858,940
587,642
274,459
820,935
351,474
226,566
877,696
75,670
186,738
271,708
264,496
355,439
613,747
109,52
714,498
772,866
61,90
717,576
437,2
516,753
805,775
85,928
850,204
43,988
783,464
404,460
704,458
987,555
768,118
79,138
953,305
802,207
204,677
389,784
414,220
635,550
316,37
82,896
899,838
315,178
123,95
811,451
64,319
486,970
196,305
444,181
189,370
374,859
709,906
478,472
513,210
459,302
232,576
873,771
923,162
377,90
747,176
91,252
280,430
689,947
92,701
20,95
217,836
915,603
937,790
177,158
274,451
791,220
76,163
504,455
279,10
125,318
696,346
214,352
776,515
594,719
855,825
600,425
682,745
812,149
505,53
480,209
738,119
71,853
837,651
296,720
577,979
88,715
16,953
821,950
169,671
750,766
8,548
138,81
226,926
79,575
251,593
742,898
997,285
912,354
385,335
807,191
2,567
417,965
286,770
729,507
517,419
731,801
19,412
626,381
892,48
42,964
69,792
917,416
767,454
993,397
759,963
598,422
147,120
951,954
363,889
437,924
408,768
893,93
39,301
424,589
475,237
244,250
679,583
346,394
845,347
852,279
252,151
238,983
677,234
652,388
420,661
250,114
7,404
919,379
699,199
188,743
526,564
74,860
194,529
54,171
864,545
788,8
141,543
49,877
507,227
998,91
273,752
432,989
369,828
190,516
229,475
981,835
329,99
4,223
550,257
351,864
929,772
645,134
551,995
778,444
60,304
974,672
687,116
523,186
813,738
158,734
381,492
666,289
565,68
887,5
33,462
718,428
291,784
743,660
357,328
779,453
913,34
495,854
754,112
321,637
785,675
278,991
964,997
500,168
441,809
208,215
203,862
398,802
40,783
609,610
706,398
936,736
840,754
768,697
117,484
105,539
490,640
114,946
133,499
897,325
174,142
540,311
735,167
606,226
390,18
108,152
878,885
823,857
721,432
354,781
860,367
927,457
641,113
938,577
53,127
407,605
674,899
908,275
558,216
651,579
87,406
347,933
173,490
264,597
737,211
732,546
465,431
384,314
382,882
126,622
270,981
895,625
355,242
576,36
127,827
386,471
350,465
962,184
211,65
870,476
240,517
548,753
93,232
152,224
148,439
440,747
