requestUsername,acceptUsername
807,426
582,219
190,268
148,841
736,145
668,71
438,535
840,458
346,897
900,475
961,663
270,362
660,410
897,349
606,497
436,914
730,149
870,122
705,671
213,528
608,508
986,970
601,583
354,319
48,337
818,315
908,751
903,547
464,102
679,958
418,664
296,830
70,143
719,461
219,272
323,757
856,512
430,809
439,212
454,966
579,27
619,176
790,860
764,800
546,490
715,637
847,219
138,91
615,343
90,49
499,471
211,362
139,29
711,569
279,485
417,301
808,636
633,789
904,346
367,306
990,983
57,254
853,313
699,937
262,52
272,993
234,694
931,761
505,319
478,618
4,337
801,738
480,201
123,583
941,889
802,610
70,116
809,491
949,70
962,682
439,27
327,345
210,886
806,879
11,93
585,463
986,253
446,654
290,617
940,990
628,791
278,322
618,821
748,652
419,296
349,697
202,454
370,917
669,465
739,269
942,275
67,623
173,488
226,657
708,673
391,263
596,743
350,935
163,151
305,200
88,869
149,656
810,145
279,594
801,22
267,979
865,562
749,445
297,371
203,571
765,246
861,378
373,702
787,207
639,779
997,575
904,707
522,41
21,171
311,772
499,837
972,260
601,978
357,235
449,24
63,724
365,200
524,96
383,158
125,530
855,950
924,276
867,22
501,645
394,861
27,869
934,322
157,751
379,31
359,413
90,416
991,880
926,517
656,718
265,242
371,481
312,857
675,942
257,458
289,1
279,57
337,288
405,661
697,381
5,351
54,352
93,73
52,860
189,683
810,460
692,411
81,636
762,218
549,614
298,747
15,724
597,131
929,824
817,55
270,432
580,908
996,465
22,575
616,597
839,845
962,669
273,735
855,328
239,690
134,183
90,304
49,242
579,705
249,361
510,448
210,22
789,541
598,968
433,298
257,258
13,510
38,109
667,525
421,283
124,320
719,996
839,436
912,868
35,574
914,394
924,178
711,816
756,147
769,211
346,847
426,912
521,886
382,868
911,471
947,687
333,334
842,725
577,89
827,124
712,747
553,702
513,54
891,3
655,902
558,102
32,44
435,738
11,839
34,231
716,98
721,519
741,773
976,29
589,503
243,33
714,652
774,686
150,616
887,600
585,20
861,573
107,879
867,892
401,176
122,414
386,447
218,359
136,621
392,480
505,135
465,12
345,557
244,878
148,810
143,63
16,361
68,552
971,36
871,34
807,996
805,316
403,623
934,92
773,735
437,869
601,141
922,923
133,588
78,784
117,882
131,945
266,32
365,438
838,239
375,447
338,224
389,333
55,628
557,396
483,83
908,542
933,70
693,897
905,440
128,101
481,629
71,389
658,597
806,380
18,925
30,623
788,545
820,605
539,291
73,42
581,667
17,942
345,652
515,530
75,64
6,611
808,165
863,325
839,256
580,819
901,849
751,15
223,543
469,576
509,211
515,901
281,343
359,732
498,210
853,391
1000,546
364,382
96,570
277,324
273,224
949,697
635,141
347,782
159,193
249,955
666,281
846,717
781,608
523,808
905,950
850,487
610,653
40,645
56,301
100,536
585,158
987,554
475,645
10,763
793,956
918,473
431,959
439,782
123,278
533,481
950,389
716,863
289,269
850,85
554,828
336,624
857,904
482,121
88,158
235,796
842,332
566,509
477,885
603,570
843,282
15,672
389,227
383,285
33,19
818,628
694,226
619,409
531,948
191,503
352,707
861,515
965,739
229,927
115,213
528,554
855,370
898,423
449,628
305,14
136,773
392,219
2,869
163,171
598,388
324,387
929,964
794,341
722,91
480,139
905,38
401,513
308,851
931,884
816,424
39,216
527,276
498,391
359,478
1000,866
667,13
649,392
939,413
694,996
501,298
209,479
336,67
642,433
716,971
732,699
937,614
392,636
385,979
545,961
994,149
523,581
421,811
234,817
985,371
517,883
679,216
206,130
790,118
203,137
323,846
978,472
765,78
131,18
806,921
99,251
769,600
874,383
514,275
117,688
768,771
719,672
542,532
386,531
185,401
59,970
437,528
984,346
716,694
639,280
205,811
40,136
918,518
817,968
388,882
774,349
862,98
587,705
784,901
323,81
939,49
563,711
307,215
406,233
503,649
937,544
