researcherID,userUsername
270,88
485,102
61,880
601,124
862,283
695,491
828,644
693,389
623,745
191,253
802,441
307,681
908,583
278,580
607,533
241,117
397,402
165,547
950,194
729,592
19,98
635,763
911,894
268,964
329,564
26,510
23,291
418,176
583,355
874,37
861,167
536,408
144,999
916,82
789,362
840,980
948,462
728,945
712,771
748,183
127,827
189,118
358,518
986,789
776,858
107,935
933,896
706,723
999,196
563,339
104,910
57,434
360,758
309,768
949,164
402,810
541,829
18,934
468,171
982,120
248,214
472,746
880,39
604,393
622,653
172,664
756,212
838,837
78,930
325,82
87,976
712,52
393,792
344,860
711,375
602,47
755,227
912,178
566,392
363,154
100,946
782,260
142,334
103,542
69,863
992,269
906,157
587,69
333,228
165,151
946,704
559,242
106,562
535,876
522,964
129,334
527,51
149,335
125,488
152,298
652,634
326,903
903,114
397,966
764,603
979,670
376,223
815,31
498,820
347,505
800,924
656,360
505,320
170,260
308,869
717,23
924,560
826,692
94,423
912,631
353,116
544,304
39,537
8,226
690,276
625,815
759,972
813,979
379,748
544,411
851,961
250,556
387,77
495,463
502,628
392,609
962,720
110,591
157,227
725,842
726,350
527,672
506,204
406,896
76,362
732,425
366,195
565,71
854,696
797,306
859,343
209,566
546,212
707,58
735,960
669,425
763,925
365,605
499,675
734,770
225,985
494,909
363,531
69,462
912,971
728,267
152,396
314,809
85,907
838,155
876,729
311,699
862,996
793,693
977,628
773,51
811,170
502,739
810,836
101,606
472,802
767,415
626,630
849,672
424,807
927,904
785,354
203,602
124,955
315,472
628,692
340,910
34,146
930,796
140,977
705,506
899,919
463,294
669,990
886,607
68,582
38,82
96,905
693,483
251,226
21,520
206,440
699,299
651,332
503,850
933,180
692,546
359,234
565,726
81,463
903,221
676,815
35,374
438,302
764,591
415,181
114,157
336,346
886,138
712,523
742,421
836,698
963,517
529,439
581,99
730,448
803,418
721,360
337,408
741,60
236,620
750,858
50,930
32,219
260,794
592,493
952,980
962,65
312,48
175,544
684,112
342,225
767,94
906,182
361,795
241,975
32,931
342,163
44,156
580,529
295,183
326,456
168,259
959,829
348,344
667,382
958,161
59,347
881,204
797,681
461,203
453,92
560,305
520,44
380,237
347,101
490,147
622,708
374,675
369,363
916,37
558,207
899,840
15,698
266,112
236,519
382,145
85,620
752,135
954,214
95,535
489,239
928,915
113,903
124,197
172,972
802,616
511,861
197,628
596,263
362,855
51,476
33,47
79,588
26,651
733,70
503,873
520,79
536,240
57,410
87,956
934,461
808,524
213,792
156,430
349,33
567,452
806,358
787,639
442,105
297,323
213,363
675,869
513,604
925,199
507,341
683,34
811,875
303,549
286,419
566,682
582,792
32,950
79,656
212,493
636,674
174,863
660,528
694,318
439,797
288,492
775,416
421,588
702,19
523,488
821,420
357,974
954,897
283,582
599,883
334,485
653,626
883,701
347,553
142,735
638,328
681,187
143,242
589,153
935,505
171,587
739,352
545,341
463,927
372,146
464,800
64,661
922,449
198,905
989,835
964,814
763,358
108,315
423,228
607,476
475,707
455,134
173,974
341,440
718,502
211,201
521,653
470,359
147,984
130,632
49,130
236,194
191,964
532,732
374,498
170,421
662,905
544,807
543,781
100,401
583,994
460,281
589,17
36,313
991,422
608,211
263,959
421,202
860,231
126,240
408,460
950,790
894,525
704,89
602,348
779,477
762,182
757,1000
460,658
192,597
326,332
226,267
374,570
682,859
261,63
756,673
790,642
747,924
791,754
98,300
607,79
1000,421
805,582
466,345
550,854
511,213
476,549
608,800
985,593
480,462
810,56
675,884
953,661
821,374
95,891
799,310
475,632
732,323
705,500
813,400
721,595
