requestUsername,acceptUsername
jdunkerk0,csullivanq
ganan1,tbeckwithd
bcammock2,cwroughtono
gjohnes3,wjurca1a
dbrende4,ascheuw
wrobertacci5,afermor1g
acreelman6,arichen2l
gatger7,nrobbertse
mlongmate8,whosier21
tdarleston9,ggreenman1d
mjardina,mgoldstraw1e
sredrupb,aelgy11
afawdriec,mdurrad15
tbeckwithd,awerrit2m
nrobbertse,njosefovic1j
cmattinglyf,dtorrese27
ibarkessg,pteck1s
cmyttonh,ktoun24
wbartoseki,wrobertacci5
dthorj,bclandillon1l
jstetsonk,asoames1t
bgribbinl,mjardina
agrahlmansm,asoames1t
kgamblesn,bclandillon1l
cwroughtono,washbe13
spesticciop,npryddenx
csullivanq,cbillsberry1p
mmccallamr,cmyttonh
apimbleys,spesticciop
erichardssont,hvearncombe1k
vpaolucciu,dtorrese27
dfurseyv,bgribbinl
ascheuw,wbartoseki
npryddenx,tdarleston9
cgillfordy,wrobertacci5
moxendenz,spesticciop
ksomerled10,rmcilriach29
aelgy11,bgribbinl
dmurphey12,jdunkerk0
washbe13,rmeriguet1m
ashelford14,mredwing2j
mdurrad15,dmichelotti2q
jbissiker16,pteck1s
ciacovazzi17,nrobbertse
chyland18,ashelford14
pchoffin19,csullivanq
wjurca1a,tmacari2c
pdeath1b,afermor1g
fokane1c,cmattinglyf
ggreenman1d,vpaolucciu
mgoldstraw1e,mlongmate8
gstammler1f,vpaolucciu
afermor1g,cbillsberry1p
sconor1h,gjohnes3
yvannar1i,pdeath1b
njosefovic1j,sredrupb
hvearncombe1k,bgribbinl
bclandillon1l,ksomerled10
rmeriguet1m,cgillfordy
mshilvock1n,erichardssont
lstalman1o,chyland18
cbillsberry1p,dmichelotti2q
alanglois1q,pdeath1b
lkleynermans1r,dmichelotti2q
pteck1s,sconor1h
asoames1t,bclandillon1l
jandreotti1u,pchoffin19
pjouannisson1v,ciacovazzi17
gboys1w,jdunkerk0
rdaleman1x,dmichelotti2q
rkinnerley1y,spesticciop
bsaffin1z,mjardina
mstovin20,afermor1g
whosier21,nrobbertse
jiverson22,mgoldstraw1e
mschollick23,rmeriguet1m
ktoun24,dmcquirk2e
dburt25,jiverson22
dlambole26,spesticciop
dtorrese27,awerrit2m
adrowsfield28,lkleynermans1r
rmcilriach29,asoames1t
gescritt2a,ganan1
cbeckett2b,pdeath1b
tmacari2c,bcammock2
smadigan2d,mjardina
dmcquirk2e,ksomerled10
cgeke2f,rdaleman1x
whastie2g,fokane1c
pkofax2h,jbissiker16
kdagworthy2i,ganan1
mredwing2j,wrobertacci5
cisham2k,jdunkerk0
arichen2l,kdagworthy2i
awerrit2m,jdunkerk0
bbrandrick2n,vpaolucciu
atruscott2o,lkleynermans1r
rwaterdrinker2p,npryddenx
dmichelotti2q,rwaterdrinker2p
msergant2r,gboys1w
